year,LandAverageTemperature
1950,8.365250000000001
1951,8.625666666666667
1952,8.638250000000001
1953,8.87375
1954,8.560666666666666
1955,8.62625
1956,8.279583333333333
1957,8.7325
1958,8.77375
1959,8.732666666666667
1960,8.58375
1961,8.797666666666666
1962,8.745916666666666
1963,8.856
1964,8.409666666666666
1965,8.527416666666666
1966,8.599333333333332
1967,8.700083333333334
1968,8.516333333333334
1969,8.595083333333333
1970,8.700916666666666
1971,8.59925
1972,8.499583333333334
1973,8.94825
1974,8.4675
1975,8.744833333333334
1976,8.34725
1977,8.85025
1978,8.69275
1979,8.733416666666667
1980,8.980333333333332
1981,9.165833333333333
1982,8.639166666666666
1983,9.028166666666666
1984,8.691833333333333
1985,8.658
1986,8.833583333333333
1987,8.994416666666666
1988,9.201583333333334
1989,8.921999999999999
1990,9.234166666666667
1991,9.179416666666667
1992,8.836583333333333
1993,8.866583333333333
1994,9.03875
1995,9.347083333333334
1996,9.038916666666667
1997,9.202583333333333
1998,9.522666666666668
1999,9.285083333333334
2000,9.201166666666667
2001,9.414583333333333
2002,9.570416666666667
2003,9.525583333333334
2004,9.324583333333333
2005,9.700916666666666
2006,9.5325
2007,9.732166666666666
2008,9.43175
2009,9.50525
2010,9.703083333333334
2011,9.516
2012,9.507333333333333
2013,9.6065
2014,9.570666666666666
2015,9.831
